"line","song_lyrics_url","song_name","artist_name"
"Lord God, I come to you a sinner","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And I humbly repent for my sins","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I believe that Jesus is Lord","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I believe that you raised him from the dead","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I will ask that Jesus will come to my life","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And be my Lord and Savior","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I receive Jesus to take control of my life","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And that I may live for him from this day forth","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Thank you, Lord Jesus, for saving me with your precious blood","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"In Jesus' name, Amen","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I met her at this house party on El Segundo and Central","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"She had the credentials of strippers in Atlanta","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Ass came with a hump, from the jump she was a camel","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"I want to ride like Arabians, push an '04 Mercedes-Benz","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"""Hello, my name is Kendrick,"" she said ""No, you're handsome.""","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Whispered in my ear, disappeared, then found her dancin'","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Ciara had played in the background","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"The parade music we made had us all wearin' shades now","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"""Cool, where you stay?""","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"She said: ""Down the street from Dominguez High""","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Okay, I know that's borderline Compton or Paramount","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"""Well, is it Compton?"" – ""No,"" she replied","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And quickly start battin' her eyes","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"And strictly had wanted her thighs around me","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Seventeen, with nothin' but pussy stuck on my mental","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"My motive was rather sinful","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"""What you tryin' to get into?""","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"She didn't tell, just gave me her Nextel","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Dropped the number, we chirped the whole summer, and well","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"The summer had passed, and now I'm likin' her","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Conversation we havin' probably enticin' her","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
"Who could imagine? Maybe my actions will end up wifin' her","https://genius.com/Kendrick-lamar-sherane-aka-master-splinters-daughter-lyrics","Sherane a.k.a Master Splinter's Daughter","Kendrick Lamar"
